n,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14
6,376.64713,346.57895,375.47266,347.57925,371.97455,345.16644,371.93692,341.8794,375.18033,341.06628,377.0115,342.7236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,522.42737,338.25555,517.4423,340.6251,517.1736,340.42023,516.5352,334.60358,517.061,334.17407,521.4661,334.05173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,209.60527,390.56485,209.05402,388.41663,206.13553,387.9949,205.15738,390.41772,208.44432,392.38373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,253.78104,352.7901,254.28209,352.6304,257.61234,354.87296,257.80405,356.78583,255.88644,358.81412,254.47737,358.495,252.23404,355.64075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,266.54785,245.43652,267.11496,243.2522,270.4904,242.09573,271.9812,244.77519,268.8261,247.1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,737.04663,245.21461,734.53876,240.91144,736.77313,238.98595,739.6842,239.5762,740.5959,240.79832,739.01196,244.31926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,752.2931,302.1639,751.8044,305.5723,746.73926,303.89685,748.42456,301.13412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,467.11237,319.92203,468.64832,320.66708,468.9755,321.50232,467.39233,325.90335,463.42218,325.047,462.50815,323.4746,463.13773,321.62213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,308.84424,396.76862,308.19772,392.48752,307.87952,392.31516,304.7905,393.81454,304.466,394.96707,307.28552,397.3626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,440.3846,539.2647,442.40134,540.5452,445.31186,538.1704,443.96307,536.2564,441.59818,535.9043,440.36005,536.7937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,216.4611,437.33575,213.87971,440.52426,213.87054,440.84137,217.3589,443.9885,218.8546,443.2629,219.96138,441.28085,219.44621,439.36212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,234.4644,274.95862,235.50139,274.26276,235.78009,269.55814,232.95163,269.01517,230.8109,270.37646,230.10146,272.48572,230.47653,273.4507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,152.79073,395.0583,153.0327,393.53946,155.58258,391.64627,158.83087,393.46625,158.9029,394.5005,156.80048,397.12088,154.4201,396.85632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,144.00261,436.82828,145.47023,443.11035,146.5114,443.80594,154.37064,439.4776,154.38197,438.2513,146.95699,433.9597,146.05869,434.14005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,221.40282,259.36697,223.64177,258.76752,225.82346,261.92902,222.41429,263.9168,221.02493,259.97345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,279.51535,324.67722,276.86002,324.43558,275.99405,325.18893,276.41425,328.85992,278.18115,329.62082,280.55612,327.61624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,439.73096,431.0149,440.94122,429.3301,444.03384,430.83337,443.91165,434.3278,440.9646,434.17487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,55.137146,458.04764,48.296833,457.73297,43.8037,453.21375,43.735233,445.42596,51.980465,440.00745,58.97473,442.87476,60.440025,445.8813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,233.51672,365.06,231.81621,368.40842,229.93059,368.22595,228.76372,364.7854,231.68977,363.99472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,465.8101,201.61032,463.75323,198.72113,465.23776,194.79138,469.49695,195.75648,469.54337,199.90347,467.73068,201.7673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,723.5484,414.81976,723.0196,410.82074,729.9003,410.6512,730.0306,410.9419,728.13153,416.99872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,455.47433,281.92075,457.54318,283.44492,461.2331,281.4221,461.5002,280.52585,460.25198,279.1838,455.8031,278.80414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,169.71622,330.29373,167.6336,333.22504,168.19951,335.87,168.83003,336.07443,172.30098,335.15225,172.30011,331.5862,170.68271,330.15643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,464.91565,434.939,467.175,437.61804,470.24988,436.1075,470.4053,434.8756,467.41418,432.61624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,763.7358,266.19916,765.4363,267.25754,765.73004,269.89313,764.0329,271.80618,760.646,270.2889,760.2263,268.23712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,736.7964,245.66023,737.04663,245.21461,739.01196,244.31926,742.7573,246.67453,742.8676,247.52136,741.30707,249.43626,738.9006,249.62979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,545.6208,200.02628,541.10626,200.12988,541.57904,203.86752,542.7622,204.66724,545.93024,202.32611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,186.87654,241.1382,186.41856,239.44872,189.36375,236.30014,191.59825,237.34236,191.70987,237.53041,190.3388,240.52312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,399.21133,409.97073,397.5063,406.24765,399.55783,403.86926,402.42053,406.84525,399.53287,409.9983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,406.70938,386.78287,408.08286,386.31363,409.14435,383.77982,405.85626,381.04074,404.1666,384.20175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,815.86176,265.36044,813.0754,265.53674,810.76776,269.37143,810.9667,269.91122,814.75543,271.37567,816.7215,269.50522,816.1144,265.54547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,747.12616,414.08994,744.9427,416.3,741.2602,415.13882,742.92725,410.91147,745.325,410.59613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,189.29002,391.32553,190.33392,391.66684,192.43042,390.35883,192.32353,386.7401,191.56708,386.3538,188.81406,386.69147,188.48079,387.18713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,203.43932,338.0028,204.47884,336.25662,207.77092,336.42456,209.29475,338.82803,209.23854,338.93674,205.67516,340.4763,203.66464,338.97525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,637.77045,283.63684,638.99664,289.399,636.8314,289.38672,633.3976,286.8282,633.2092,285.0951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,255.88644,358.81412,254.47737,358.495,251.67932,360.69434,251.85588,362.45544,253.38391,363.3555,256.95404,362.08087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,500.6536,255.193,501.19678,253.82246,503.7001,252.11353,503.8052,252.12498,506.25046,255.59024,504.64267,258.23767,503.93533,258.49948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,615.62354,145.18507,616.89923,147.625,614.7082,154.44357,603.0313,152.84097,602.1819,149.90567,603.99756,144.05777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,204.7709,321.21878,208.47089,319.9725,208.4664,318.38147,205.14758,316.46844,203.56595,319.07098,204.10251,320.79596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,687.37286,313.68353,688.5451,314.9338,688.31226,318.44858,686.7335,319.4094,682.5802,317.5444,682.0159,315.7699,682.5938,314.54346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
