n,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14
6,376.01993,345.80008,375.25293,346.6037,372.91342,344.82217,372.7078,342.51636,375.02838,342.05466,376.16345,343.25354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,521.47766,337.9425,517.7682,339.67966,517.5798,339.50644,517.1995,335.35104,517.5562,335.04282,520.78253,334.78156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,208.65184,390.26324,208.38782,389.1624,206.75415,388.78058,206.141,390.23746,208.14381,391.42996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,254.20552,353.69553,254.55379,353.59277,256.6667,355.19818,256.87646,356.41223,255.65617,357.841,254.71411,357.5234,253.23369,355.66736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,267.48813,245.09612,267.93716,243.82137,269.96957,242.9494,270.98398,244.7006,268.8887,246.20055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,737.2892,244.24448,735.5169,241.11922,737.1769,239.90082,739.0381,240.33942,739.6421,241.09875,738.6417,243.39032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,751.36945,302.5471,751.1632,304.80493,747.714,303.67343,748.98456,301.96265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,466.69464,320.8306,467.8277,321.23856,468.03232,321.83466,466.97818,324.99316,464.13034,324.34094,463.4756,323.22153,464.08078,321.95477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,308.1754,396.02518,307.68085,393.34357,307.49188,393.23697,305.7254,394.1694,305.45602,394.8262,307.15012,396.37183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,441.18887,538.6704,442.37753,539.54553,444.31863,538.05426,443.2427,536.95,441.9574,536.8375,441.24707,537.2554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,216.64053,438.31952,214.87149,440.65222,214.87006,440.8724,217.28036,442.99158,218.25566,442.4621,218.9684,441.16257,218.61888,439.92383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,233.98798,274.0794,234.74092,273.61337,235.01598,270.20322,232.92426,270.0148,231.59325,270.9993,231.08733,272.31818,231.33409,272.93634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,153.77898,394.9055,153.96516,393.90073,155.64452,392.64435,157.8928,393.8127,157.90338,394.53165,156.42097,396.19568,154.93204,395.99728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,144.93236,437.19647,145.98749,442.25452,146.8234,442.85587,153.38289,439.3215,153.38286,438.29355,147.23036,434.9216,146.50696,435.03394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,222.11842,260.0655,223.28192,259.70053,224.89,261.5703,222.5559,262.92688,221.93854,260.38004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,278.90234,325.4673,277.279,325.34357,276.77426,325.81445,276.99213,328.0438,278.09113,328.62488,279.6079,327.29855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,440.65244,431.40335,441.2917,430.2667,443.14694,431.29532,443.27106,433.5599,441.3559,433.2546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,54.78718,457.11087,48.66706,456.80402,44.688786,452.74832,44.647747,445.83502,51.95679,441.00717,58.21409,443.52393,59.499924,446.22217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,232.60008,365.45972,231.53696,367.4482,230.42522,367.35684,229.63983,365.26752,231.438,364.9625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,466.17523,200.67937,464.75317,198.73285,465.62988,195.71129,468.84686,196.51634,468.62735,199.5023,467.47314,200.80104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,724.41187,414.31534,723.90735,411.2811,729.09576,411.24506,729.1782,411.4648,727.8527,416.03836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,456.42447,281.6089,457.93512,282.52493,460.2539,281.21918,460.5079,280.64972,459.5626,279.9082,456.60907,279.3961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,169.7972,331.29044,168.63351,333.21167,168.74734,335.03342,169.19295,335.1426,171.53287,334.51193,171.47499,332.15115,170.44879,331.1287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,465.9113,435.03238,467.51294,436.67688,469.31982,435.74008,469.41635,435.02383,467.64413,433.58945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,763.5796,267.1869,764.6521,267.87808,764.7982,269.53015,763.785,270.8374,761.5385,269.83786,761.2007,268.46207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,737.7189,246.04623,737.8975,245.73996,739.3059,245.27509,741.76086,246.75836,741.8863,247.32893,740.796,248.57669,739.2198,248.6821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,544.9067,200.72629,541.848,200.80052,542.3172,203.19287,543.0127,203.69911,544.9314,202.27768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,187.5955,240.44315,187.3892,239.20819,189.37227,237.30011,190.74815,237.86897,190.81863,237.98395,189.87221,239.63864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,399.3771,408.98456,398.38907,406.71744,399.58282,404.86896,401.43903,407.03662,399.57605,408.99924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,406.74432,385.78348,407.5188,385.48788,408.17984,384.04382,406.1228,382.00455,405.16302,384.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,815.3056,266.19153,813.4284,266.47235,811.6985,269.0057,811.82635,269.40042,814.5422,270.39868,815.8374,269.03793,815.48157,266.31976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,746.1544,413.85385,744.731,415.32263,742.13025,414.64587,743.4136,411.78525,744.98724,411.53735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,189.68747,390.4079,190.37616,390.66772,191.68153,389.69614,191.61963,387.4504,191.1287,387.25256,189.46434,387.45117,189.29166,387.77237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,204.4347,338.09888,205.13336,337.01266,207.12862,337.191,208.31078,338.64975,208.26202,338.72128,205.91637,339.50583,204.62883,338.71002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,637.2987,284.5186,638.23694,288.74872,636.5319,288.43262,634.39746,286.8437,634.05664,285.62598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,255.23802,359.5754,254.30402,359.47986,252.67195,360.81555,252.6849,361.89624,253.6502,362.3916,256.01828,361.72824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,501.65283,255.15378,502.06992,254.3099,503.6178,253.11014,503.6876,253.11804,505.2665,255.41173,504.29028,257.30182,503.79605,257.50922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,614.7718,145.70908,615.9159,147.80673,614.0099,153.72778,603.8884,152.32588,603.17426,149.7826,604.73517,144.733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,205.23032,320.33057,207.4987,319.7383,207.52116,318.70786,205.35574,317.44653,204.55963,319.18317,204.8477,320.1291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,686.78564,314.49295,687.634,315.34586,687.5081,317.85416,686.3486,318.48645,683.5015,317.15564,683.00275,315.93176,683.4412,315.07437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,394.91992,461.8813,394.8721,462.71487,393.86795,463.60892,391.19977,463.49628,391.19064,463.467,392.1632,460.86588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,771.1031,315.96207,770.6459,318.17014,767.7585,318.4905,767.0328,317.09277,767.668,315.38663,768.2337,314.94086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,112.137726,491.13928,115.19297,499.9311,107.796364,512.5705,91.1782,507.95755,94.46501,488.56476,103.67047,486.57007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,509.49643,318.57446,509.34305,318.315,506.83582,316.7839,504.7992,318.16446,505.50568,319.47952,508.49667,319.98898,509.06293,319.63663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,24.951832,365.2581,21.591902,365.8741,23.297987,369.2432,24.107718,369.52924,26.369469,367.8462,26.405544,367.7633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,401.98398,399.8126,401.37155,401.32828,399.83978,402.303,398.93967,401.17075,399.06796,399.10876,400.52725,398.72412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,378.58264,300.50507,378.14453,303.2312,377.38727,304.11893,377.2742,304.1276,375.28473,302.78723,374.4895,299.85272,376.5583,298.84247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,287.47867,211.00414,284.08032,212.81491,274.6152,205.87698,275.19992,201.02313,283.23767,194.8388,290.7619,196.96518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,798.49054,326.4697,799.645,324.86453,802.1538,324.86722,802.7272,325.39603,801.38513,328.35745,800.7663,328.51422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,532.89795,283.80606,532.6743,283.83337,532.15204,283.5695,530.9735,280.41452,531.26556,280.02264,533.5798,279.47266,533.7012,279.5258,534.31793,281.23862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,458.7785,437.27963,460.12903,438.79608,458.6974,440.3599,458.24686,440.35715,456.7434,438.7657,457.17358,436.90875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,405.12497,222.10149,410.84537,219.357,410.96875,210.62807,404.40677,210.65872,401.4467,214.76436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,704.7404,288.71277,703.35925,291.0851,701.4834,288.66257,702.516,287.1388,703.6567,287.10272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,857.9115,242.33618,854.62714,239.143,852.2521,242.33124,852.38715,242.93568,855.66644,245.256,856.91046,245.37807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,324.4497,370.50415,326.45062,370.4352,325.89587,375.07,325.70502,375.222,325.27225,375.1676,323.36545,373.32095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,379.8294,396.56708,378.79428,395.2296,379.9544,393.06635,380.31332,392.90353,382.25342,394.30444,382.33084,395.1141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,190.0806,464.91162,189.74815,465.7449,194.61333,470.69156,196.20679,469.3381,196.27725,465.349,193.07043,463.23346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,381.81982,433.66214,383.42395,433.1211,383.96115,431.22028,383.7091,430.78415,381.62595,430.35828,379.9444,432.60077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,392.0332,424.18692,392.94833,423.59225,394.95383,424.06448,394.72272,426.01282,393.4417,427.1185,392.30756,426.6996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,351.47833,460.71158,353.6993,463.12045,355.36896,461.7134,355.17258,460.57504,354.20932,459.5669,352.68506,459.6342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,323.60696,474.96402,323.97437,472.9259,323.89822,472.71948,321.8316,472.25003,319.71777,474.35062,321.69427,475.97467,323.3157,475.45416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,590.6025,436.6916,590.8233,436.56378,593.6165,439.155,593.3949,443.63834,591.9058,444.7839,588.71857,440.57513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,284.24487,390.97034,284.35898,390.9082,286.742,392.02676,286.64035,393.72287,284.27228,394.689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,143.78702,245.7439,143.65419,245.90402,141.59804,246.60995,140.88918,246.1842,140.80643,244.71898,142.65306,242.90941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,746.8678,227.90553,746.2684,226.77403,743.52924,226.38559,742.772,227.30603,745.291,229.86908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,437.58868,322.62357,440.3593,323.33847,439.73016,325.77612,439.05927,326.04147,436.67093,325.3355,435.7859,324.27643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
